Kod stacji,DsJelw05,DsWrocWie,KpCiechoTezniowa,KpWloclSielska,LbBialaPOrzechowa,LdLodzWSSEMWodna40,MpKrakowWIOSAKra6117,MpKrakowWIOSPrad6115,MzWarszKrucza,PkPrzemWIOSDolin
Wskaźnik,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10,PM10
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g,24g,24g,24g
8/16/2001 0:00,27,45.3,,,,47,43.2,13.5,34.8,
8/17/2001 0:00,28,31.8,35.1,,16,48,51,21.2,58.5,89.12
8/18/2001 0:00,28,52.6,,,,48,54.3,12.9,58.5,
8/19/2001 0:00,38,44.2,49.7,,20,,45.2,11.8,54.9,51.44
8/20/2001 0:00,26,49,,,,57,50.4,8.9,65.8,
8/21/2001 0:00,16,29.4,25.6,29.1,22,50,51.7,,78.7,77.5
8/22/2001 0:00,16,30.2,,,,44,52.1,,60.4,
8/23/2001 0:00,26,33.5,20.4,12.5,7,25,45.9,16.5,20.1,52.29
8/24/2001 0:00,30,54.8,,,,37,47.2,12,29.3,
8/25/2001 0:00,42,,34.1,,13,45,47.6,,31.1,62.59
8/26/2001 0:00,38,,,,,,46.1,,29.3,
8/27/2001 0:00,26,22,22.8,18.2,10,36,46.2,,47.6,17.21
8/28/2001 0:00,12,19,,,,,33.9,,7.3,
8/29/2001 0:00,,32.9,14.6,12.3,8,10,26.1,,11,31.59
8/30/2001 0:00,,26.7,,,,23,34,,27.4,
8/31/2001 0:00,,39.1,24.6,,9,24,52.8,,34,59.14
9/1/2001 0:00,,32.3,19.9,,13,35,45.2,,29.3,34.72
9/2/2001 0:00,,17.4,,,,,19.6,,23.8,
9/3/2001 0:00,,27.4,23.9,21.2,7,37,32.5,,31.1,72.25
9/4/2001 0:00,9,21.9,,,,39,44.7,,36.6,
9/5/2001 0:00,10,17.2,28.8,17.1,15,26,33.2,24.5,47.6,
9/6/2001 0:00,9,20.7,,,,29,31.9,14.2,18.3,
9/7/2001 0:00,12,17.1,18.8,,,32,25.5,17.2,18.3,
9/8/2001 0:00,6,,,,,16,20.3,16.2,14.6,
9/9/2001 0:00,5,,18.5,,,,21.1,13.9,5.5,
9/10/2001 0:00,4,8.1,,,,,21.9,13.7,9.1,
9/11/2001 0:00,6,14.9,15.6,12.6,7,26,31.6,17.3,12.8,28.97
9/12/2001 0:00,9,13.6,,,,28,25.9,17.8,23.8,
9/13/2001 0:00,7,14.6,15,,10,28,28.7,19.7,16.5,47.36
9/14/2001 0:00,7,20.2,,,,38,43.9,21.7,25.6,
9/15/2001 0:00,8,15.9,34.7,,13,37,37.1,21.4,22,63.26
9/16/2001 0:00,10,23.3,,,,,20.9,10.8,27.4,
9/17/2001 0:00,8,22.3,24.2,,8,24,42.1,18.8,18.3,
9/18/2001 0:00,11,21.5,,,,24,38.6,17.7,14.6,
9/19/2001 0:00,8,39.9,19.3,,8,27,45.2,19.1,49.4,
9/20/2001 0:00,11,30,,,,,59.6,32.7,38.4,
9/21/2001 0:00,6,25.6,25.6,,,,80.6,44.6,40.3,
9/22/2001 0:00,13,,,,,,43.9,32.1,29.3,
9/23/2001 0:00,17,,21.8,,,,38.9,19.1,45.7,
9/24/2001 0:00,19,20.6,,,,38,37.8,10.9,31.1,
9/25/2001 0:00,14,22.6,19.8,,8,29,28.7,,60.4,
9/26/2001 0:00,22,62.7,,,,31,33.8,,49.4,
9/27/2001 0:00,17,30.4,29.8,,8,47,41.6,24.3,62.2,
9/28/2001 0:00,13,35.6,,,,51,48.7,48.7,47.6,
9/29/2001 0:00,16,47.9,38.8,,22,49,44.9,23.6,95.1,
9/30/2001 0:00,12,69.7,,,,,56.9,25.8,29.3,
10/1/2001 0:00,,18.6,21.5,,15,32,50.6,36.3,47.6,
10/2/2001 0:00,,27,,,,25,43.7,27.7,36.6,
10/3/2001 0:00,15,23,24.7,,14,29,54.7,27.4,49.4,61.97
10/4/2001 0:00,16,,,,,31,49,28.9,40.3,
10/5/2001 0:00,18,32.1,35.8,,16,57,49.2,19.7,53,53.57
10/6/2001 0:00,30,,,,,44,70.1,26.4,45.7,
10/7/2001 0:00,27,,29.2,,11,,52.2,41.4,58.5,57.27
10/8/2001 0:00,35,44.5,,,,70,69.5,40.6,71.3,
10/9/2001 0:00,17,47.9,31.4,,20,56,73.7,44.8,43.9,84.11
10/10/2001 0:00,16,32.6,,,,35,63.7,51.7,42.1,
10/11/2001 0:00,15,26.9,18.6,,7,,42.6,25.3,20.1,33.73
10/12/2001 0:00,17,39.8,,,,44,43.7,20.4,29.3,
10/13/2001 0:00,28,56.9,34.9,,,66,59.1,41.9,45.7,50.7
10/14/2001 0:00,29,55.6,,,,,50.2,38.8,75,
10/15/2001 0:00,41,69.1,41.6,21.5,8,75,69.1,43.1,60.4,79.41
10/16/2001 0:00,49,64.9,,,,85,122.3,50.1,47.6,
