Kod stacji,DsWrocWie,KpCiechoTezniowa,LdLodzWSSEMWodna40,MpKrakowWIOSAKra6117,MpKrakowWIOSPrad6115,MzWarszKrucza,PkPrzemWIOSDolin
Wskaźnik,PM10,PM10,PM10,PM10,PM10,PM10,PM10
Czas uśredniania,24g,24g,24g,24g,24g,24g,24g
8/30/2000 0:00,32,,45,29.3,,36.6,
8/31/2000 0:00,34.7,,40,29.9,,30.4,45.18
9/1/2000 0:00,34.4,,46,23.6,56,,37.08
9/2/2000 0:00,15,,39,20,58,37.2,
9/3/2000 0:00,9.1,19,,12.2,28,,
9/4/2000 0:00,10,,25,11.3,20,36.6,
9/5/2000 0:00,10.2,15,26,11.2,17,13,36.99
9/6/2000 0:00,22,,37,,,24.2,
9/7/2000 0:00,28,40,39,25.3,,28.5,38.41
9/8/2000 0:00,30.3,,41,,,,
9/9/2000 0:00,27.9,37,53,,,32.9,74.01
9/10/2000 0:00,26.8,,,,,,
9/11/2000 0:00,26,18,45,37,,29.8,74.77
9/12/2000 0:00,35.2,,37,28,,37.2,
9/13/2000 0:00,36.6,29,,,,39.7,70.81
9/14/2000 0:00,20.1,,,21.4,,16.1,
9/15/2000 0:00,27.2,14,,17.4,,,52.51
9/16/2000 0:00,30.3,,,18.8,,25.4,
9/17/2000 0:00,9.3,14,,12.9,,,17.38
9/18/2000 0:00,14.3,,,12,,31,
9/19/2000 0:00,26.6,18,,18.7,,44,30.26
9/20/2000 0:00,20,,,24.1,,32.2,
9/21/2000 0:00,24.2,42,,19.8,,37.8,40.02
9/22/2000 0:00,32,,,16.1,,,
9/23/2000 0:00,14.3,39,,26.4,,44,36.25
9/24/2000 0:00,29.8,,,24.1,,,
9/25/2000 0:00,45.2,50,,45.9,,76.9,64.54
9/26/2000 0:00,47.8,,,39.9,,,
9/27/2000 0:00,96,43,,,,55.8,
9/28/2000 0:00,59.1,,,,,41.5,
9/29/2000 0:00,59.4,42,,35.7,52,,72.2
9/30/2000 0:00,53.3,,,28.2,45,42.2,
10/1/2000 0:00,38.4,,,,36,,51.27
10/2/2000 0:00,48,,,,37,32.2,
10/3/2000 0:00,39,33,,,41,32.2,88.96
10/4/2000 0:00,66.6,,,,67,33.5,
10/5/2000 0:00,89.6,52,,,93,37.8,115.55
10/6/2000 0:00,30.1,,,,52,,
10/7/2000 0:00,,40,,,47,18.6,
10/8/2000 0:00,,,,,55,,
10/9/2000 0:00,28.1,44,,26.9,48,47.1,
10/10/2000 0:00,32.6,,,25.3,51,40.9,
10/11/2000 0:00,32.8,38,,19.6,35,42.2,
10/12/2000 0:00,45,,,26.2,35,19.2,
10/13/2000 0:00,54.8,73,,35.1,54,,
10/14/2000 0:00,68.6,,,40.4,67,18,
10/15/2000 0:00,55.1,28,,31.1,45,,
10/16/2000 0:00,48.1,,,47.4,64,52.7,
10/17/2000 0:00,42.3,55,,,65,28.5,
10/18/2000 0:00,36.4,,,,48,42.8,
10/19/2000 0:00,53.3,46,,40.3,43,41.5,
10/20/2000 0:00,60.4,,,33.8,44,,
10/21/2000 0:00,,63,,35.7,58,59.5,
10/22/2000 0:00,,,,42.2,75,,
10/23/2000 0:00,68.1,70,108,49.1,87,74.4,
10/24/2000 0:00,44.5,,53,38.2,61,16.1,
10/25/2000 0:00,24.4,33,40,25.8,31,49,
10/26/2000 0:00,22.7,,24,21.8,28,45.9,
10/27/2000 0:00,30.5,30,38,16,19,,
10/28/2000 0:00,26.4,,36,,34,28.5,
10/29/2000 0:00,28.4,31,,,31,,
10/30/2000 0:00,39.2,,46,,30,22.9,
10/31/2000 0:00,,21,34,24.9,28,25.4,
11/1/2000 0:00,,26,,12.3,12,,
11/2/2000 0:00,33,,43,21.2,37,24.8,
11/3/2000 0:00,29.1,30,28,19.8,29,,
11/4/2000 0:00,,,34,21.5,29,24.2,
11/5/2000 0:00,,36,,17.9,19,,
11/6/2000 0:00,29.3,,26,29.5,26,27.3,
11/7/2000 0:00,26,35,39,19.2,23,26.7,
11/8/2000 0:00,44.8,,53,28.2,38,32.9,
11/9/2000 0:00,54.2,54,65,28.2,35,23.6,
11/10/2000 0:00,,,73,42.6,60,,
11/11/2000 0:00,,50,61,29.3,45,44.6,
11/12/2000 0:00,,,,30,49,,
11/13/2000 0:00,53.4,59,63,,62,41.5,
11/14/2000 0:00,76,,110,,,31,
