Kod stacji,LdLodzWSSEMLegiono,Pm.63.wDSMm,SlZabrzZabr_sklod
Wskaźnik,PM2.5,PM2.5,PM2.5
Czas uśredniania,24g,24g,24g
12/13/2006 0:00,17,,38.4
12/14/2006 0:00,20,16,41.8
12/15/2006 0:00,28,17,58.4
12/16/2006 0:00,21,13,49.8
12/17/2006 0:00,23,11,98.7
12/18/2006 0:00,21,2,54.9
12/19/2006 0:00,30,,32.1
12/20/2006 0:00,18,,40.5
12/21/2006 0:00,22,,26.8
12/22/2006 0:00,18,14,23.2
12/23/2006 0:00,20,11,22.8
12/24/2006 0:00,12,19,31.6
12/25/2006 0:00,23,42,14.9
12/26/2006 0:00,24,13,82.7
12/27/2006 0:00,26,10,109.6
12/28/2006 0:00,21,17,61
12/29/2006 0:00,24,23,51.4
12/30/2006 0:00,25,,57.4
12/31/2006 0:00,17,,39.4
